"z" "do" "Freq"
"niez. (45)" "niez. (974)" 2
"SP (45)" "niez. (974)" 1
"PiS (45)" "PiS (974)" 135
"SP (45)" "PiS (974)" 1
"niez. (45)" "PO (974)" 1
"PO (45)" "PO (974)" 205
"PSL (45)" "PSL (974)" 28
"PO (45)" "RP (974)" 1
"RP (45)" "RP (974)" 41
"SLD (45)" "RP (974)" 1
"SLD (45)" "SLD (974)" 25
"PiS (45)" "SP (974)" 1
"SP (45)" "SP (974)" 18
"RP (974)" "ID (2474)" 4
"niez. (974)" "niez. (2474)" 2
"PiS (974)" "niez. (2474)" 1
"PO (974)" "niez. (2474)" 3
"RP (974)" "niez. (2474)" 1
"SLD (974)" "niez. (2474)" 1
"niez. (974)" "PiS (2474)" 1
"PiS (974)" "PiS (2474)" 135
"SP (974)" "PiS (2474)" 1
"PO (974)" "PO (2474)" 203
"PSL (974)" "PSL (2474)" 28
"SP (974)" "PSL (2474)" 1
"RP (974)" "SLD (2474)" 2
"SLD (974)" "SLD (2474)" 24
"SP (974)" "SP (2474)" 17
"RP (974)" "TR (2474)" 36
"niez. (2474)" "KPSP (3773)" 2
"PSL (2474)" "KPSP (3773)" 1
"SP (2474)" "KPSP (3773)" 12
"niez. (2474)" "niez. (3773)" 7
"PiS (2474)" "niez. (3773)" 1
"PO (2474)" "niez. (3773)" 1
"SP (2474)" "niez. (3773)" 4
"TR (2474)" "niez. (3773)" 2
"PiS (2474)" "PiS (3773)" 136
"SP (2474)" "PiS (3773)" 1
"PO (2474)" "PO (3773)" 202
"ID (2474)" "PSL (3773)" 4
"PSL (2474)" "PSL (3773)" 28
"SLD (2474)" "SLD (3773)" 26
"TR (2474)" "TR (3773)" 34
"TR (3773)" "BiG (3980)" 11
"KPSP (3773)" "KPSP (3980)" 15
"niez. (3773)" "niez. (3980)" 14
"PiS (3773)" "niez. (3980)" 2
"TR (3773)" "niez. (3980)" 3
"PiS (3773)" "PiS (3980)" 135
"PO (3773)" "PO (3980)" 202
"PSL (3773)" "PSL (3980)" 32
"SLD (3773)" "SLD (3980)" 26
"TR (3773)" "SLD (3980)" 5
"TR (3773)" "TR (3980)" 15
"KPSP (3980)" "KPSP (4865)" 14
"niez. (3980)" "KPSP (4865)" 1
"BiG (3980)" "niez. (4865)" 4
"KPSP (3980)" "niez. (4865)" 1
"niez. (3980)" "niez. (4865)" 15
"PiS (3980)" "niez. (4865)" 4
"PO (3980)" "niez. (4865)" 1
"TR (3980)" "niez. (4865)" 15
"niez. (3980)" "PiS (4865)" 1
"PiS (3980)" "PiS (4865)" 131
"niez. (3980)" "PO (4865)" 1
"PO (3980)" "PO (4865)" 201
"BiG (3980)" "PSL (4865)" 6
"niez. (3980)" "PSL (4865)" 1
"PSL (3980)" "PSL (4865)" 32
"BiG (3980)" "SLD (4865)" 1
"niez. (3980)" "SLD (4865)" 2
"SLD (3980)" "SLD (4865)" 31
"niez. (4865)" "BC (6029)" 3
"SLD (4865)" "BC (6029)" 1
"niez. (4865)" "niez. (6029)" 23
"SLD (4865)" "niez. (6029)" 1
"niez. (4865)" "PiS (6029)" 2
"PiS (4865)" "PiS (6029)" 132
"PO (4865)" "PO (6029)" 202
"PSL (4865)" "PSL (6029)" 38
"niez. (4865)" "RP (6029)" 11
"PSL (4865)" "SLD (6029)" 1
"SLD (4865)" "SLD (6029)" 32
"KPSP (4865)" "ZP (6029)" 15
